name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,address,distMetro,metro,photoAmount,menuPositions,reviewsAmount,cuisine,tablesAmount,phoneListed,reservationButton,categories,name_repeats,lat,lon,metro_m^2
Том и Ям,https://yandex.com/maps/org/tom_i_yum/46115564300/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,1500-3000,5.0,1108.0,"Москва, ул. Арбат, 1",350 м,Арбатская,532.0,110,889.0,"паназиатская, японская, тайская, вьетнамская, азиатская, китайская, корейская, смешанная",20,True,False,"Ресторан, Кафе, Бар",1,55.751817,37.599292,
Том вьетнамская кухня,https://yandex.com/maps/org/tom_vyetnamskaya_kukhnya/116960415314/,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,,4.3,12.0,"Москва, Хабаровская ул., 15","2,63 км",Щёлковская,,55,9.0,,,True,False,"Ресторан, Кафе",1,55.822544,37.823412,
Tu Ton,https://yandex.com/maps/org/tu_ton/13318855669/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,600,4.2,245.0,"Москва, Хорошёвское ш., 27",59 м,Хорошёвская,75.0,32,135.0,"вьетнамская, паназиатская, тайская",,True,False,"Кафе, Ресторан",1,55.777105,37.523716,
Tuk Tuk,https://yandex.com/maps/org/tuk_tuk/69137313805/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,,4.2,101.0,"Москва, ул. Перерва, 43, корп. 1",48 м,Братиславская,50.0,52,68.0,,,False,False,"Быстрое питание, Ресторан",2,55.659653,37.74967,237280.0
TuTon вьетнамская и тайская кухня,https://yandex.com/maps/org/tuton_vyetnamskaya_i_tayskaya_kukhnya/225854649061/,,,,,,,,,,0.0,"Москва, Рязанский просп., 2, корп. 2",195 м,Нижегородская,3.0,31,2.0,,,False,False,Ресторан,1,55.729873,37.730437,
Mr. An,https://yandex.com/maps/org/viet_express/88238386113/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,16:00–22:00,550-1500,4.7,356.0,"Москва, Люсиновская ул., 11/12с1",152 м,Добрынинская,166.0,73,228.0,,,True,False,"Кафе, Ресторан",1,55.72816,37.623591,
Вкус Вьетнама,https://yandex.com/maps/org/viet_flavor/71230873709/,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,,5.0,358.0,"Москва, ул. Сущёвский Вал, 22",760 м,Марьина Роща,174.0,83,244.0,,,True,False,"Кафе, Ресторан, Быстрое питание",2,55.792478,37.60496,
Viet Ngon,https://yandex.com/maps/org/viet_ngon/105309161748/,,,,,,,,,,0.0,"Москва, Коптевская ул., 24, стр. 2",870 м,Коптево,3.0,52,2.0,,,False,False,Ресторан,1,55.833213,37.522414,
ВьетКафе,https://yandex.com/maps/org/vietcafe/1085502016/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,1000-1500,4.6,1874.0,"Москва, ул. Намёткина, 13А","1,03 км",Новые Черёмушки,239.0,0,1074.0,вьетнамская,,True,False,"Ресторан, Кальян-бар",3,55.662745,37.554448,
Вьетнамская еда ФоБоЮ,https://yandex.com/maps/org/vietnamese_food_foboyu/136907753052/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,,4.5,339.0,"Москва, Комсомольский просп., 28",156 м,Фрунзенская,98.0,41,208.0,,,True,False,"Кафе, Ресторан",1,55.726882,37.579654,
ВьетнамиКо,https://yandex.com/maps/org/vietnamiko/157160292807/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,250-500,4.5,883.0,"Москва, Привольная ул., 70, корп. 1",284 м,Котельники,159.0,129,509.0,"китайская, тайская, японская, азиатская, смешанная",,True,False,"Кафе, Ресторан, Быстрое питание",1,55.677742,37.854665,222076.0
Вьет Бак вьетнамская кухня,https://yandex.com/maps/org/vyet_bak_vyetnamskaya_kukhnya/184061972095/,,,,,,,,,,0.0,"Москва, Тишинская площадь, 1, стр. 1",970 м,Белорусская,4.0,33,1.0,,,False,False,Ресторан,1,55.769231,37.583373,
Вьет Лотос,https://yandex.com/maps/org/vyet_lotos/184108351201/,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,,4.4,40.0,"Москва, Ленинградский просп., 62А",45 м,Аэропорт,33.0,48,33.0,,,True,False,"Быстрое питание, Ресторан, Кафе",2,55.801835,37.532107,
Вьетнамская Кухня,https://yandex.com/maps/org/vyetnamskaya_kukhnya/6377310995/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,500-1000,5.0,253.0,"Москва, Мясницкая ул., 32, стр. 2",163 м,Тургеневская,97.0,0,168.0,,,True,False,"Кафе, Ресторан, Быстрое питание",1,55.765372,37.639653,
Wok&Box,https://yandex.com/maps/org/wok_box/154988176916/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,,2.5,191.0,"Москва, Измайловское ш., 71А",254 м,Партизанская,49.0,144,119.0,"китайская, японская, азиатская",,True,False,"Суши-бар, Ресторан",2,55.789563,37.752526,
Якитория,https://yandex.com/maps/org/yakitoriya/1019489428/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,1500,4.4,1994.0,"Москва, Варшавское ш., 26",119 м,Нагатинская,135.0,255,837.0,"европейская, паназиатская, японская, авторская, мясная, рыбная",,True,False,"Ресторан, Банкетный зал, Суши-бар",22,55.684508,37.621938,
Якитория,https://yandex.com/maps/org/yakitoriya/1037516838/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,1500,4.4,1475.0,"Москва, Ленинградский просп., 80, корп. 21",460 м,Сокол,119.0,254,611.0,"европейская, паназиатская, японская, авторская, мясная, рыбная",,True,False,"Ресторан, Банкетный зал, Суши-бар",22,55.808548,37.512398,
Якитория,https://yandex.com/maps/org/yakitoriya/1128463847/,10:00–02:00,10:00–02:00,10:00–02:00,10:00–02:00,10:00–02:00,10:00–02:00,10:00–02:00,975,4.7,2419.0,"Москва, Университетский просп., 19",890 м,Ломоносовский проспект,150.0,281,923.0,"европейская, паназиатская, японская, авторская, мясная, рыбная",,True,False,"Ресторан, Банкетный зал, Суши-бар",22,55.713512,37.522054,
Якитория,https://yandex.com/maps/org/yakitoriya/1135230493/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,1500,4.4,2740.0,"Москва, 1-я Тверская-Ямская ул., 7",370 м,Маяковская,274.0,258,1219.0,,,True,False,"Ресторан, Банкетный зал, Суши-бар, Кафе",22,55.771525,37.592815,
Якитория,https://yandex.com/maps/org/yakitoriya/1730583955/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,1500,4.4,2100.0,"Москва, просп. Мира, 97",370 м,Алексеевская,200.0,251,897.0,"европейская, паназиатская, японская, авторская, мясная, рыбная",,True,False,"Ресторан, Банкетный зал, Суши-бар",22,55.809105,37.636338,
Якитория,https://yandex.com/maps/org/yakitoriya/222054545307/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,1500,4.5,523.0,"Москва, Хорошёвское ш., 27",59 м,Хорошёвская,100.0,251,282.0,"европейская, паназиатская, японская, авторская, мясная, рыбная",,True,False,"Ресторан, Банкетный зал, Суши-бар",22,55.777105,37.523716,
Якитория,https://yandex.com/maps/org/yakitoriya/224323656861/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,1500,4.4,2224.0,"Москва, Ломоносовский просп., 10/68",620 м,Вавиловская,127.0,259,895.0,"европейская, паназиатская, японская, авторская, мясная, рыбная",,True,False,"Ресторан, Банкетный зал, Суши-бар",22,55.690359,37.546408,
Якитория,https://yandex.com/maps/org/yakitoriya/243266770463/,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,1000-1500,4.4,5098.0,"Москва, Тверская ул., 6, стр. 1",350 м,Охотный Ряд,500.0,255,2388.0,японская,,True,False,"Ресторан, Банкетный зал, Суши-бар",22,55.760256,37.611446,
Якитория,https://yandex.com/maps/org/yakitoriya/59088076708/,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,1500,4.7,2389.0,"Москва, ул. Дмитриевского, 15",242 м,Лухмановская,222.0,252,1100.0,"европейская, паназиатская, японская, авторская, мясная, рыбная",,True,False,"Ресторан, Банкетный зал, Суши-бар",22,55.709104,37.892834,222076.0
Йорик убил Хамлета,https://yandex.com/maps/org/yorik_ubil_hamleta/234877851601/,15:00–00:00,15:00–00:00,15:00–00:00,15:00–05:00,15:00–05:00,15:00–05:00,15:00–05:00,,4.7,3434.0,"Москва, ул. Покровка, 16",890 м,Чистые пруды,549.0,30,1947.0,"европейская, фьюжн, тайская, японская",15–20,True,False,"Бар, Ресторан",1,55.759157,37.645744,
16 Тонн,https://yandex.ru/maps/org/16_tonn/1090688593/,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,,4.9,15440.0,"Москва, ул. Пресненский Вал, 6, стр. 1",165 м,Улица 1905 года,108.0,116,5157.0,европейская,,True,False,"Бар, Ресторан, Кафе",2,55.764313,37.564383,
29 Park Lane,https://yandex.ru/maps/org/29_park_lane/39554607781/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,2000-3000,4.5,357.0,"Москва, Петровско-Разумовский пр., 29","1,38 км",Дмитровская,116.0,74,157.0,"европейская, итальянская, кавказская, русская, авторская, морская, мясная, рыбная, смешанная, шашлык",,True,False,"Ресторан, Банкетный зал, Кафе",1,55.804132,37.561553,
A Pho,https://yandex.ru/maps/org/a_pho/153276449363/,,,,,,,,400-2000,5.0,104.0,"Москва, Большая Спасская ул., 8, стр. 1А",890 м,Сухаревская,43.0,7,67.0,вьетнамская,,True,False,"Кафе, Ресторан",1,55.775707,37.642833,
