name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,address,distMetro,metro,photoAmount,menuPositions,reviewsAmount,cuisine,tablesAmount,phoneListed,reservationButton,categories,name_repeats,lat,lon,metro_m^2
Al33 Пиццерия,https://yandex.ru/maps/org/al33_pitstseriya/173729358850/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,600-2000,4.4,1340.0,"Ленинградский просп., 33, корп. 4, Москва",320 м,Динамо,147.0,114,699.0,"европейская, итальянская, авторская, морская, мясная, рыбная, вегетарианская, средиземноморская",26–38,True,False,"Пиццерия, Ресторан, Бар",1,55.787285,37.559936,
Амбассадори-Трамплин,https://yandex.ru/maps/org/ambassadori_tramplin/1329753818/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2500,4.6,1986.0,"Москва, ул. Косыгина, 28","1,22 км",Воробьёвы горы,592.0,45,1028.0,"европейская, итальянская, паназиатская, авторская, домашняя, смешанная, вегетарианская",1–50,True,False,"Ресторан, Банкетный зал",1,55.708511,37.544827,
Amphora,https://yandex.ru/maps/org/amphora/128434812078/,Выходной,18:00–05:00,18:00–05:00,18:00–05:00,18:00–05:00,18:00–05:00,18:00–05:00,2500-10000,4.9,78.0,"Москва, Пречистенская наб., 17-19",780 м,Кропоткинская,90.0,0,58.0,"европейская, паназиатская, русская, японская, морская, рыбная, смешанная, мясная, американская, фьюжн, вегетарианская, домашняя, азиатская",до 10,True,True,"Ресторан, Кальян-бар, Бар",1,55.739732,37.605508,
АндерСон,https://yandex.ru/maps/org/anderson/104269030501/,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–23:00,09:00–23:00,1500-2500,4.8,5224.0,"Москва, ул. Льва Толстого, 23, корп. 1",920 м,Парк культуры,505.0,4,2982.0,"европейская, итальянская, русская, авторская, домашняя, вегетарианская",от 40,True,False,"Кафе, Кондитерская, Ресторан",7,55.734917,37.58482,
АндерСон,https://yandex.ru/maps/org/anderson/1686677393/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,1500-2000,4.6,2762.0,"Москва, Кусковская ул., 47","1,13 км",Перово,277.0,153,1313.0,"европейская, русская, авторская, домашняя, вегетарианская",15,True,False,"Кафе, Кондитерская, Ресторан",7,55.744313,37.794352,246370.0
АндерСон,https://yandex.ru/maps/org/anderson/1723623052/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,1500-2000,4.6,7010.0,"Москва, просп. Мира, 119, стр. 136","1,32 км",ВДНХ,601.0,148,3732.0,"европейская, итальянская, русская, авторская, домашняя, вегетарианская",28,True,False,"Кафе, Кондитерская, Ресторан",7,55.828081,37.627607,
АндрБар,https://yandex.ru/maps/org/andrbar/207291164977/,17:00–00:00,17:00–00:00,17:00–00:00,17:00–00:00,17:00–02:00,17:00–02:00,17:00–00:00,600-1500,4.3,239.0,"Москва, Таганская площадь, 86/1с1",148 м,Таганская,64.0,0,149.0,"европейская, американская, тайская, восточная, авторская, вегетарианская",,True,False,"Ресторан, Кальян-бар, Бар",1,55.741429,37.652795,
Арарат,https://yandex.ru/maps/org/ararat/1072099466/,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,3000-5000,4.5,140.0,"Москва, Неглинная ул., 4",320 м,Театральная,92.0,0,31.0,"кавказская, авторская, армянская, домашняя, рыбная, вегетарианская, национальная, шашлык, веганская",,True,False,"Ресторан, Кофейня",4,55.759912,37.621471,
Армения,https://yandex.ru/maps/org/armeniya/1133929046/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,1500-2500,4.3,2010.0,"Москва, Тверской бул., 28/17",6 м,Тверская,331.0,102,897.0,"грузинская, европейская, кавказская, авторская, армянская, мясная, рыбная, национальная, шашлык, смешанная, морская, вегетарианская, международная",до 15,True,False,"Ресторан, Банкетный зал",1,55.764075,37.605418,
Аруба,https://yandex.ru/maps/org/aruba/1187587391/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2500-3000,4.7,1709.0,"Москва, Народная ул., 4, стр. 1",124 м,Таганская,438.0,61,927.0,"европейская, мексиканская, латиноамериканская, смешанная, средиземноморская, вегетарианская",,True,False,"Ресторан, Бар",1,55.739336,37.651583,
Assunta Madre,https://yandex.ru/maps/org/assunta_madre/47464496972/,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,12:00–00:00,12:00–00:00,5000-7000,4.8,2706.0,"Москва, Поварская ул., 52/55с2",750 м,Баррикадная,408.0,78,1007.0,"европейская, итальянская, японская, авторская, международная, морская, мясная, рыбная, смешанная, средиземноморская, вегетарианская",,True,False,"Ресторан, Банкетный зал",1,55.757531,37.586769,
Авокадо,https://yandex.ru/maps/org/avokado/1099046369/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,12:00–23:00,1200-1500,4.6,2375.0,"Москва, Чистопрудный бул., 12, корп. 4",560 м,Чистые пруды,250.0,99,1148.0,"европейская, американская, итальянская, русская, авторская, вегетарианская, веганская",21–31,True,True,"Ресторан, Кафе, Бар",1,55.76136,37.643156,
Бакинский бульвар,https://yandex.ru/maps/org/bakinskiy_bulvar/1338404451/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,1000-1500,4.6,5944.0,"Москва, ул. Неверовского, 15",218 м,Парк Победы,80.0,265,2081.0,"грузинская, европейская, кавказская, турецкая, русская, восточная, азербайджанская, домашняя, мясная, рыбная, вегетарианская, национальная, шашлык",,True,False,"Ресторан, Банкетный зал",3,55.738282,37.512541,
Бакинский домик,https://yandex.ru/maps/org/bakinskiy_domik/1052748259/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,1500-2500,4.5,4748.0,"Москва, Русаковская ул., 23",470 м,Сокольники,98.0,201,2028.0,"европейская, кавказская, русская, восточная, азербайджанская, армянская, международная, мясная, рыбная, вегетарианская, шашлык",6–30,True,False,"Ресторан, Банкетный зал, Кальян-бар",1,55.785928,37.675828,
Balzi Rossi,https://yandex.ru/maps/org/balzi_rossi/1279682216/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,3000-4000,4.9,2048.0,"Москва, Кудринская площадь, 1",155 м,Баррикадная,708.0,54,942.0,"европейская, итальянская, авторская, международная, морская, мясная, рыбная, смешанная, средиземноморская, вегетарианская",1–23,True,False,"Ресторан, Банкетный зал",1,55.759132,37.580903,
Бараshka,https://yandex.ru/maps/org/barashka/1007033216/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,1500-2500,4.6,1402.0,"Москва, ул. Новый Арбат, 21",640 м,Смоленская,370.0,134,558.0,"кавказская, восточная, азербайджанская, домашняя, вегетарианская, национальная, шашлык, халяльная, постная, европейская",90,True,False,"Ресторан, Банкетный зал, Кафе",1,55.751999,37.585413,
БарЧук,https://yandex.ru/maps/org/barchuk/133806350843/,18:00–05:30,18:00–05:30,18:00–05:30,18:00–05:30,18:00–05:30,18:00–05:30,18:00–05:30,,4.7,214.0,"Москва, Староваганьковский пер., 19, стр. 3",288 м,Александровский сад,60.0,53,88.0,"европейская, американская, русская, авторская, смешанная, постная, мясная, национальная, вегетарианская, рыбная, морская, средиземноморская, международная",3–8,True,False,"Бар, Банкетный зал, Ресторан",1,55.751183,37.606442,
Beer Pairing,https://yandex.ru/maps/org/beer_pairing/76914378575/,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–00:00,11:00–00:00,11:00–22:00,1500-2500,5.0,1346.0,"Москва, ул. Авиаконструктора Миля, 3А",310 м,Жулебино,311.0,75,800.0,"итальянская, европейская, вьетнамская, национальная, вегетарианская, рыбная, авторская, паназиатская, тайская, мексиканская, смешанная, мясная, международная, восточная, японская, морская, немецкая",,True,True,"Ресторан, Банкетный зал, Бар",1,55.686787,37.851943,222076.0
Белагайо,https://yandex.ru/maps/org/belagayo/26498358088/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,2000,4.4,25.0,"Москва, ул. Родченко, 2","1,04 км",ЗИЛ,76.0,0,20.0,"европейская, авторская, итальянская, веганская, средиземноморская",от 10,True,True,"Ресторан, Кафе",1,55.698767,37.630733,
Бессонница,https://yandex.ru/maps/org/bessonnitsa/216487414973/,Выходной,12:00–01:00,12:00–01:00,12:00–01:00,12:00–01:00,12:00–01:00,12:00–01:00,999-2500,4.9,47.0,"Москва, Лесная ул., 59, стр. 1",600 м,Менделеевская,120.0,15,35.0,"европейская, смешанная, веганская, национальная, вегетарианская, рыбная, домашняя, авторская, греческая, русская",11–14,True,False,"Ресторан, Бар",1,55.781965,37.593372,
Бистро,https://yandex.ru/maps/org/bistro/97622674980/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,100-180,4.3,319.0,"Москва, Тверская ул., 27, стр. 2",140 м,Маяковская,45.0,12,169.0,"европейская, кавказская, восточная, авторская, еврейская, мясная, вегетарианская, национальная, веганская",,True,False,"Быстрое питание, Ресторан",1,55.768659,37.597558,
Black Thai,https://yandex.ru/maps/org/black_thai/188118697970/,12:00–01:00,12:00–01:00,12:00–01:00,12:00–02:00,12:00–02:00,12:00–02:00,11:30–01:00,4500-5000,5.0,5393.0,"Москва, Кутузовский просп., 2/1к1А",880 м,Киевская,530.0,79,2469.0,"тайская, авторская, азиатская, вегетарианская",,True,False,"Ресторан, Кафе, Бар",1,55.750717,37.564913,
Brasserie Lambic,https://yandex.ru/maps/org/brasserie_lambic/242555002638/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–03:00,12:00–01:00,12:00–00:00,1500-2000,4.9,3446.0,"Москва, Страстной бул., 7, стр. 1",190 м,Чеховская,362.0,141,1893.0,"европейская, авторская, мясная, рыбная, средиземноморская, вегетарианская",,True,True,"Ресторан, Кафе, Бар",12,55.76722,37.608284,
Brasserie Lambic,https://yandex.ru/maps/org/brasserie_lambic/53143824028/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–03:00,12:00–02:00,12:00–00:00,1500-2000,5.0,8416.0,"Москва, Турчанинов пер., 3, стр. 5",121 м,Парк культуры,798.0,152,5742.0,"европейская, итальянская, японская, авторская, азиатская, домашняя, международная, морская, мясная, рыбная, смешанная, вегетарианская, шашлык, веганская",,True,True,"Ресторан, Банкетный зал, Бар",12,55.736863,37.59595,
Brasserie Lambic,https://yandex.ru/maps/org/brasserie_lambic/64218583601/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–03:00,12:00–01:00,12:00–00:00,1500-2000,4.9,4792.0,"Москва, Гоголевский бул., 33/1",340 м,Арбатская,474.0,151,2504.0,"индонезийская, европейская, итальянская, японская, авторская, азиатская, мясная, рыбная, средиземноморская, вегетарианская",,True,True,"Ресторан, Доставка еды и обедов, Бар",12,55.750763,37.599858,
Canteen,https://yandex.ru/maps/org/canteen/1279164175/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,10:00–23:00,10:00–23:00,1500-2500,4.6,755.0,"Москва, Рочдельская ул., 15, стр. 13","1,19 км",Краснопресненская,154.0,72,348.0,"европейская, смешанная, вегетарианская",20–21,True,False,"Ресторан, Бар",1,55.755991,37.56512,
Чакруло,https://yandex.ru/maps/org/chakrulo/179138324971/,11:00–05:00,11:00–05:00,11:00–05:00,11:00–05:00,11:00–05:00,11:00–05:00,11:00–05:00,1000-1500,4.4,2286.0,"Москва, ул. Новый Арбат, 15",690 м,Арбатская,509.0,89,1356.0,"грузинская, европейская, кавказская, авторская, домашняя, вегетарианская, национальная, постная, смешанная, восточная",40–50,True,False,"Ресторан, Кальян-бар, Бар",1,55.751933,37.593066,
Cheesemania Pizza&Pasta,https://yandex.ru/maps/org/cheesemania_pizza_pasta/164880882854/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,10:00–22:00,,4.3,322.0,"Москва, Щёлковское ш., 75",43 м,Щёлковская,62.0,64,214.0,"итальянская, русская, международная, мясная, веганская",,True,False,"Быстрое питание, Ресторан, Пиццерия, Кафе",1,55.810966,37.80108,
Chef's table,https://yandex.ru/maps/org/chef_s_table/237653602468/,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,15000-18000,5.0,594.0,"Москва, Смоленская площадь, 3",175 м,Смоленская,401.0,6,253.0,"фьюжн, паназиатская, русская, восточная, авторская, азиатская, международная, морская, рыбная, скандинавская, средиземноморская, вегетарианская, национальная, веганская",,True,False,Ресторан,1,55.747485,37.581307,
Черчилль паб,https://yandex.ru/maps/org/cherchill_pab/1161005600/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,,4.8,3189.0,"Москва, Ленинградский просп., 66",470 м,Аэропорт,189.0,35,1514.0,"европейская, фьюжн, авторская, мясная, рыбная, средиземноморская, вегетарианская",до 20,True,False,"Бар, Ресторан, Кафе",1,55.802761,37.526007,
Черетто Мясо,https://yandex.ru/maps/org/cheretto_myaso/45323824591/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1500-2000,4.8,2211.0,"Москва, просп. Мира, 58",470 м,Проспект Мира,186.0,139,976.0,"европейская, американская, итальянская, русская, французская, японская, восточная, австралийская, авторская, аргентинская, домашняя, еврейская, континентальная, международная, морская, мясная, рыбная, смешанная, средиземноморская, вегетарианская",,True,False,Ресторан,1,55.785361,37.63606,
China Garden,https://yandex.ru/maps/org/china_garden/1120383774/,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,2000-2500,4.4,410.0,"Москва, Краснопресненская наб., 12","1,18 км",Деловой центр,116.0,0,151.0,"китайская, фьюжн, авторская, вегетарианская",,True,False,Ресторан,1,55.754203,37.556388,
Чуст 24,https://yandex.ru/maps/org/chust_24/90403360561/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,300-3500,4.3,7.0,"Москва, Угрешская ул., 2, стр. 1",560 м,Дубровка,13.0,0,7.0,"татарская, кавказская, китайская, паназиатская, сербская, французская, белорусская, бурятская, калмыцкая, среднеазиатская, чеченская, постная, халяльная, вьетнамская, грузинская, индийская, киргизская, средиземноморская, немецкая, славянских народов, скандинавская, шашлык, латиноамериканская, сибирская, аргентинская, кошерная, индонезийская, морская, молекулярная, арабская, континентальная, казахская, армянская, австралийская, японская, восточно-европейская, чешская, азербайджанская, еврейская, узбекская, смешанная, турецкая, украинская, английская, болгарская, тайская, осетинская, европейская, фьюжн, греческая, азиатская, домашняя, корейская, мясная, международная, мексиканская, национальная, вайнахская, ирландская, веганская, вегетарианская, рыбная, афганская, русская, испанская, итальянская, африканская, дагестанская, восточная, нет специализации, авторская, американская",1–45,True,False,"Чайхана, Ресторан, Кафе",1,55.711448,37.683446,
Club Le Chateau,https://yandex.ru/maps/org/club_le_chateau/175082856109/,09:00–16:00,09:00–16:00,09:00–16:00,09:00–16:00,09:00–16:00,Выходной,Выходной,,5.0,414.0,"Москва, Николоямская ул., 40/22с4",680 м,Таганская,418.0,7,282.0,"итальянская, европейская, постная, авторская, русская, вегетарианская, фьюжн, французская",,True,False,"Банкетный зал, Ресторан, Кафе",1,55.746785,37.659308,
Coperto,https://yandex.ru/maps/org/coperto/108709459965/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,2000-2500,4.4,622.0,"Москва, Покровский бул., 5",910 м,Курская,112.0,47,281.0,"европейская, итальянская, русская, вегетарианская",от 18,True,False,"Ресторан, Пиццерия",1,55.756006,37.649049,
Crazy Hunter,https://yandex.ru/maps/org/crazy_hunter/60262594026/,07:30–23:00,07:30–23:00,07:30–23:00,07:30–23:00,07:30–23:00,07:30–23:00,07:30–23:00,800-1200,4.2,177.0,"Москва, ул. Доватора, 8",234 м,Спортивная,94.0,28,62.0,"европейская, русская, вегетарианская",,True,False,"Ресторан, Банкетный зал, Бар",1,55.723612,37.567788,
Cutfish Bistro,https://yandex.ru/maps/org/cutfish_bistro/1703655383/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,1500-5000,4.7,866.0,"Москва, Большой Козихинский пер., 17, стр. 1",710 м,Пушкинская,142.0,150,306.0,"европейская, мексиканская, паназиатская, японская, авторская, азиатская, рыбная, вегетарианская",,True,False,"Ресторан, Суши-бар",1,55.763954,37.595402,
Dante,https://yandex.ru/maps/org/dante/44109705275/,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–02:00,11:00–02:00,11:00–00:00,2000,4.7,2498.0,"Москва, ул. Кузнецкий Мост, 3, стр. 2",430 м,Охотный Ряд,505.0,58,1344.0,"европейская, итальянская, авторская, смешанная, вегетарианская",,True,True,Ресторан,1,55.761457,37.617222,
Дарбарс,https://yandex.ru/maps/org/darbars/108439483377/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,900-1100,4.4,1197.0,"Москва, просп. Мира, 79",121 м,Рижская,338.0,79,676.0,"индийская, азиатская, вегетарианская",,True,False,"Ресторан, Кейтеринг",1,55.79098,37.634182,
Делимарше,https://yandex.ru/maps/org/delimarshe/24905702962/,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,500-1500,4.4,957.0,"Москва, ул. Сергея Макеева, 13",800 м,Улица 1905 года,199.0,110,448.0,"европейская, итальянская, смешанная, вегетарианская",,True,False,"Ресторан, Кафе",2,55.763346,37.551241,
Депо,https://yandex.ru/maps/org/depo/13156405625/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–02:00,10:00–02:00,10:00–23:00,,5.0,68497.0,"Москва, Лесная ул., 20, стр. 3",450 м,Менделеевская,1366.0,1,23388.0,"индийская, грузинская, европейская, американская, китайская, итальянская, греческая, турецкая, корейская, мексиканская, тайская, немецкая, русская, японская, австралийская, азербайджанская, азиатская, арабская, вегетарианская, веганская, вьетнамская",до 500,True,False,"Фудмолл, гастромаркет, Ресторан, Кафе",2,55.780218,37.593084,
Дижестив,https://yandex.ru/maps/org/dizhestiv/1175693619/,08:00–00:00,08:00–02:00,08:00–02:00,08:00–02:00,08:00–02:00,11:00–02:00,11:00–00:00,1000-1500,4.4,1105.0,"Москва, Кутузовский просп., 33",520 м,Кутузовская,93.0,21,514.0,"европейская, американская, итальянская, русская, азиатская, мясная, смешанная, вегетарианская",от -2,True,False,"Ресторан, Кофейня, Бар",1,55.74147,37.540784,
Дхаба,https://yandex.ru/maps/org/dkhaba/136497461638/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1500-2000,4.7,1376.0,"Москва, Новолесная ул., 2",620 м,Менделеевская,218.0,114,735.0,"индийская, китайская, международная, морская, мясная, рыбная, вегетарианская, национальная, шашлык, халяльная",,True,False,"Ресторан, Кейтеринг, Бар",1,55.781737,37.592384,
Дом Культур,https://yandex.ru/maps/org/dom_kultur/131157051825/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–02:00,12:00–02:00,12:00–00:00,1700-2000,4.6,4022.0,"Москва, Большой Сухаревский пер., 25, стр. 1",164 м,Сухаревская,394.0,38,1472.0,"европейская, авторская, вегетарианская",1–20,True,True,"Ресторан, Банкетный зал, Бар",1,55.770851,37.632044,
Дракон Сити,https://yandex.ru/maps/org/drakon_siti/90141388244/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–00:00,12:00–00:00,12:00–23:00,3300-3300,4.4,535.0,"Москва, Ленинский просп., 37",350 м,Ленинский проспект,291.0,22,348.0,"европейская, китайская, корейская, тайская, паназиатская, японская, авторская, азиатская, международная, морская, мясная, рыбная, смешанная, вегетарианская, национальная, постная",15–30,True,False,"Ресторан, Бар",1,55.709956,37.585691,
Джаганнат,https://yandex.ru/maps/org/dzhagannat/1034142003/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,400-500,4.4,3778.0,"Москва, ул. Кузнецкий Мост, 11, стр. 1",166 м,Кузнецкий Мост,349.0,110,1682.0,"вегетарианская, веганская",,True,False,"Кафе, Ресторан",5,55.762227,37.622208,
Джаганнат,https://yandex.ru/maps/org/dzhagannat/1204021629/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,500-600,4.4,1198.0,"Москва, ул. Маросейка, 4/2с1",91 м,Китай-город,77.0,99,515.0,"индийская, европейская, вегетарианская, веганская",,True,False,"Кафе, Магазин продуктов, Ресторан",5,55.757384,37.633706,
Джаганнат,https://yandex.ru/maps/org/dzhagannat/126402824811/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,500-500,4.5,2620.0,"Москва, ул. Земляной Вал, 24/30с1",130 м,Курская,211.0,0,1163.0,"вегетарианская, веганская",,True,False,"Кафе, Магазин продуктов, Ресторан",5,55.758711,37.657152,
Джаганнат,https://yandex.ru/maps/org/dzhagannat/209826647246/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,300-500,4.5,1219.0,"Москва, просп. Мира, 31",170 м,Проспект Мира,117.0,102,591.0,"вегетарианская, веганская",,True,False,"Кафе, Диетические и диабетические продукты, Ресторан",5,55.780152,37.632592,
Eat & Talk,https://yandex.ru/maps/org/eat_talk/1036000301/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,800-1500,4.4,1888.0,"Москва, Моховая ул., 7",75 м,Библиотека им. Ленина,88.0,71,842.0,"европейская, американская, китайская, итальянская, тайская, русская, французская, японская, восточная, авторская, азиатская, морская, смешанная, вегетарианская",30–50,True,True,"Кафе, Ресторан, Бар",1,55.75284,37.610844,
Eden,https://yandex.ru/maps/org/eden/68552081829/,12:00–23:30,12:00–23:30,12:00–23:30,12:00–23:30,11:00–17:00,Выходной,12:00–23:30,,4.5,136.0,"Москва, 2-й Вышеславцев пер., 5А",710 м,Марьина Роща,62.0,0,54.0,"грузинская, европейская, казахская, американская, китайская, итальянская, кавказская, греческая, турецкая, паназиатская, русская, узбекская, украинская, японская, восточная, авторская, азербайджанская, азиатская, арабская, домашняя, еврейская, международная, мясная, рыбная, славянских народов, смешанная, татарская, вегетарианская, национальная, шашлык, халяльная, кошерная, восточно-европейская, постная",,True,False,"Ресторан, Кейтеринг, Банкетный зал",1,55.790853,37.608302,
Extra Virgin,https://yandex.ru/maps/org/extra_virgin/93890941167/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,500-1500,4.8,2121.0,"Москва, Настасьинский пер., 9/5",330 м,Пушкинская,655.0,91,1097.0,"европейская, итальянская, авторская, морская, смешанная, средиземноморская, вегетарианская",,True,False,"Ресторан, Сыроварня, Пиццерия",2,55.767939,37.605544,
Фантазёры,https://yandex.ru/maps/org/fantazyory/139051402869/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,09:00–23:00,09:00–23:00,2100-2100,4.4,2095.0,"Москва, Ленинский просп., 61/1","1,27 км",Академическая,298.0,65,1178.0,"европейская, американская, итальянская, фьюжн, авторская, домашняя, международная, смешанная, средиземноморская, вегетарианская, национальная, нет специализации, веганская",,True,False,"Кафе, Ресторан, Быстрое питание",1,55.69486,37.558517,
Фармаси,https://yandex.ru/maps/org/farmasi/235736336269/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–01:00,10:00–01:00,10:00–01:00,10:00–00:00,3000-4000,4.9,2774.0,"Москва, Ходынский бул., 20А","1,09 км",ЦСКА,579.0,0,1370.0,"европейская, итальянская, французская, авторская, мясная, рыбная, средиземноморская, вегетарианская",,True,False,Ресторан,1,55.790782,37.523213,
Fijla,https://yandex.ru/maps/org/fijla/20317915199/,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,400-600,4.8,152.0,"Москва, ул. Рогожский Вал, 5, стр. 1",284 м,Площадь Ильича,54.0,43,111.0,"авторская, арабская, вегетарианская, халяльная, постная",,True,False,Ресторан,1,55.744419,37.679044,
Флер,https://yandex.ru/maps/org/fler/92357967874/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–23:00,2000,4.9,1775.0,"Москва, Чистопрудный бул., 23, стр. 2",760 м,Чистые пруды,504.0,36,862.0,"европейская, французская, авторская, международная, смешанная, вегетарианская",10–12,True,True,"Ресторан, Кафе",1,55.76055,37.647217,
Found Record Store & Pizzeria,https://yandex.ru/maps/org/found_record_store_pizzeria/211708294056/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–00:00,10:00–00:00,11:00–23:00,1000-1500,4.7,2087.0,"Москва, Цветной бул., 15, стр. 1",65 м,Цветной бульвар,1090.0,83,1212.0,"итальянская, вегетарианская",,True,False,"Пиццерия, Ресторан, Кафе",1,55.771145,37.620177,
Френдс,https://yandex.ru/maps/org/frends/174300601521/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,1000-1500,4.6,3092.0,"Москва, Краснобогатырская ул., 90, стр. 2",700 м,Преображенская площадь,590.0,73,1669.0,"европейская, американская, итальянская, авторская, мясная, смешанная, вегетарианская",,True,False,"Кафе, Ресторан, Бар",1,55.800428,37.710063,
Fresh,https://yandex.ru/maps/org/fresh/225289142772/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,200-500,5.0,115.0,"Москва, Комсомольская площадь, 2",71 м,Комсомольская,42.0,36,93.0,"постная, восточная, вегетарианская, халяльная",1–3,True,False,"Кафе, Ресторан",1,55.773555,37.656362,
G&T Gourmet,https://yandex.ru/maps/org/g_t_gourmet/182539973996/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1500-2500,5.0,1106.0,"Москва, Русаковская ул., 24",182 м,Сокольники,111.0,40,844.0,"европейская, американская, итальянская, испанская, фьюжн, русская, авторская, азиатская, домашняя, континентальная, международная, морская, смешанная, средиземноморская, вегетарианская, национальная",,True,True,"Ресторан, Банкетный зал",1,55.787447,37.681146,
Gallery to Fly,https://yandex.ru/maps/org/gallery_to_fly/1334956881/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,,4.9,81.0,"Москва, ул. Петровка, 27",430 м,Пушкинская,59.0,250,32.0,"европейская, китайская, итальянская, паназиатская, русская, украинская, японская, восточная, авторская, азиатская, международная, морская, мясная, рыбная, смешанная, средиземноморская, вегетарианская, шашлык",,False,False,"Доставка еды и обедов, Диетические и диабетические продукты, Кейтеринг, Ресторан, Кафе",1,55.767762,37.613503,
