name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,adress,distMetro,metro,photoAmount,menuPositions,reviewsAmount
Ача-Чача,https://yandex.ru/maps/org/acha_chacha/225785567780/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,1500-2000,4.7,2956,"Пятницкая ул., 82/34с2, Москва",330,Добрынинская,65,129,1489
Ача-Чача,https://yandex.ru/maps/org/acha_chacha/84774059488/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,,5.0,927,"Проточный пер., 11, Москва",320,Смоленская,52,122,595
Аченти,https://yandex.ru/maps/org/achenti/1165596568/,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,2500-3500,4.9,1862,"Кропоткинский пер., 7с2-4, Москва",350,Парк культуры,288,54,956
Адам,https://yandex.ru/maps/org/adam/126177158727/,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,2000,5.0,387,"Мясницкая ул., 18, Москва",320,Лубянка,248,10,301
Adria Mare,https://yandex.com/maps/org/adria_mare/140739352225/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–00:00,10:00–00:00,10:00–23:00,1000-1500,4.6,1479,"Краснобогатырская ул., 90, стр. 1, Москва",440,Преображенская площадь,238,56,766
Аджика чили,https://yandex.ru/maps/org/adzhika_chili/219453587880/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,400-400,4.2,248,"1-я Останкинская ул., 55, Москва",610,ВДНХ,43,59,139
Айна,https://yandex.com/maps/org/aina/213553197002/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,,4.8,2497,"ул. Остоженка, 14/2, Москва",450,Кропоткинская,535,82,1436
Аист,https://yandex.ru/maps/org/aist/1251928654/,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,10:00–00:00,10:00–00:00,3500-4000,4.7,6206,"Малая Бронная ул., 8, стр. 1, Москва",730,Тверская,442,83,2391
Академия,https://yandex.ru/maps/org/akademiya/1067471523/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,1500-3500,4.5,1324,"Камергерский пер., 2, Москва",350,Охотный Ряд,188,260,579
Академия,https://yandex.ru/maps/org/akademiya/1119249961/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,10:00–23:00,10:00–23:00,1500-3000,4.6,1929,"Бутиковский пер., 7, Москва",730,Парк культуры,150,175,655
Академия,https://yandex.ru/maps/org/akademiya/1173922441/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,11:00–00:00,11:00–00:00,2500-3500,4.5,1716,"Аргуновская ул., 3, корп. 1, Москва",1,ВДНХ,146,162,707
Академия,https://yandex.com/maps/org/akademiya/1177411483/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,11:00–23:00,11:00–23:00,2000-2500,4.3,822,"Ленинградский просп., 72, корп. 1, Москва",300,Сокол,125,193,348
Академия,https://yandex.com/maps/org/akademiya/1307988810/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,2500-4000,4.4,1496,"Абельмановская ул., 6, Москва",470,Пролетарская,110,175,649
Акапелла,https://yandex.ru/maps/org/akapella/1298935601/,07:00–16:00,07:00–22:00,07:00–22:00,07:00–22:00,07:00–22:00,07:00–22:00,07:00–16:00,2000-5000,4.3,132,"Космодамианская наб., 52, стр. 6, Москва",570,Павелецкая,76,негры,47
Alaska,https://yandex.ru/maps/org/alaska/61779589572/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,3000-5000,4.8,1984,"Бобров пер., 4, стр. 1, Москва",227,Тургеневская,500,72,1030
Алло! Пицца,https://yandex.ru/maps/org/allo_pitstsa/1218914991/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,800-1500,4.6,2701,"Ткацкая ул., 32А, Москва",690,Измайлово,351,223,1614
Алло! Пицца,https://yandex.ru/maps/org/allo_pitstsa/146872178393/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,,5.0,135,"Энергетическая ул., 18, Москва",480,Авиамоторная,35,223,125
Алло! Пицца,https://yandex.ru/maps/org/allo_pitstsa/55035573985/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,700,4.9,2467,"ул. Константина Федина, 11, стр. 4, Москва",320,Щёлковская,267,223,1371
Альпен Хофф,https://yandex.ru/maps/org/alpen_khoff/72491443811/,12:30–23:00,12:30–23:00,12:30–23:00,12:30–23:00,12:30–00:30,12:30–00:30,12:30–23:00,1000-2000,4.7,3094,"Граничная ул., 4, микрорайон Ольгино, Балашиха",,,165,83,1371
Алтаргана,https://yandex.ru/maps/org/altargana/158734235425/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1500-2000,4.7,2581,"Садовая-Черногрязская ул., 3Б, стр. 1, Москва",450,Красные Ворота,205,43,1143
Аляска,https://yandex.ru/maps/org/alyaska/1771564435/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,500-1500,4.6,591,"Октябрьский просп., 198, Люберцы",2,Котельники,108,29,258
Амазония,https://yandex.ru/maps/org/amazoniya/127725598836/,10:00–01:00,10:00–01:00,10:00–01:00,10:00–01:00,10:00–01:00,10:00–01:00,10:00–01:00,1500-1800,4.2,307,"Измайловское ш., 71к4Г-Д, Москва",440,Партизанская,82,негры,119
Амбар,https://yandex.ru/maps/org/ambar/63200613014/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–00:00,12:00–00:00,12:00–22:00,,4.9,810,"ул. Реутовских Ополченцев, 4, Реутов",3,Новогиреево,92,37,373
Амбассадори-Трамплин,https://yandex.com/maps/org/ambassadori_tramplin/1329753818/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2500,4.6,1984,"ул. Косыгина, 28, Москва",1,Воробьёвы горы,592,45,1027
