name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,adress,distMetro,metro,photoAmount,menuPositions,reviewsAmount
Чайхона № 1,https://yandex.com/maps/org/chajkhona_1/1254006182/,10:00–06:00,10:00–06:00,10:00–06:00,10:00–06:00,10:00–06:00,10:00–06:00,10:00–06:00,2199-2200,4.6,7503,"ул. Новый Арбат, 21, Москва",630,Смоленская,397,198,4373
Чакруло,https://yandex.ru/maps/org/chakrulo/179138324971/,11:00–05:00,11:00–05:00,11:00–05:00,11:00–05:00,11:00–05:00,11:00–05:00,11:00–05:00,1000-1500,4.4,2283,"ул. Новый Арбат, 15, Москва",690,Арбатская,509,89,1354
Чаме-Чаме,https://yandex.com/maps/org/chame_chame/228513317035/,11:00–22:30,11:00–22:30,11:00–22:30,11:00–22:30,11:00–22:30,11:00–22:30,11:00–22:30,800-1000,4.4,612,"Рязанский просп., 2/1к2Б, Москва",670,Нижегородская,54,110,310
Чанахи,https://yandex.ru/maps/org/chanakhi/1064508552/,11:30–23:00,11:30–23:00,11:30–23:00,11:30–23:00,11:30–23:00,12:00–23:00,12:00–23:00,1500-2000,4.4,1109,"Дегтярный пер., 6, стр. 1, Москва",450,Тверская,128,91,569
Чашки,https://yandex.ru/maps/org/chashki/239461567523/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,1000-1500,4.3,630,"Шмитовский пр., 16, стр. 2, Москва",1,Деловой центр,153,114,323
Шодо,https://yandex.com/maps/org/chaudeau/1248252969/,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,,5.0,592,"Сельскохозяйственная ул., 15, стр. 3, Москва",940,Ботанический сад,424,10,423
Чай Мира,https://yandex.com/maps/org/chay_mira/241966501234/,13:00–21:00,13:00–21:00,13:00–21:00,13:00–21:00,13:00–21:00,13:00–21:00,13:00–21:00,,4.4,15,"ул. Фридриха Энгельса, 46, стр. 2, Москва",960,Бауманская,37,негры,12
Баракат,https://yandex.com/maps/org/chayhana_barakat/1167482265/,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,400-500,4.5,1704,"Рязанский просп., 2, корп. 3, Москва",199,Нижегородская,323,91,874
Чайхона № 1,https://yandex.com/maps/org/chayhona_1/191506212315/,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,1500-2000,4.6,8633,"ул. Большая Полянка, 1/3, Москва",700,Полянка,508,196,5335
Чаiка,https://yandex.com/maps/org/chayka/1202745857/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,5000-8000,4.9,5255,"Краснопресненская наб., 12А, Москва",1,Деловой центр,553,41,1755
Чайхана,https://yandex.com/maps/org/chaykhana/176545558012/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,,4.3,770,"ш. Энтузиастов, 22/18, Москва",65,Авиамоторная,23,87,302
Чайхана Дружба Народов,https://yandex.ru/maps/org/chaykhana_druzhba_narodov/150639359522/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,250-750,4.2,1336,"ул. Трофимова, 36, Москва",380,Кожуховская,290,117,569
Чайхана Инжир,https://yandex.ru/maps/org/chaykhana_inzhir/1714681290/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–02:00,10:00–02:00,10:00–00:00,1000-1500,4.8,6412,"Каланчёвская ул., 33, Москва",530,Комсомольская,327,201,2827
Чайхана Ирро,https://yandex.com/maps/org/chaykhana_irro/123264717146/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,500-1000,4.4,380,"5-я ул. Соколиной Горы, 21, корп. 1, Москва",890,Соколиная Гора,109,81,235
Чайхана Лаззат,https://yandex.ru/maps/org/chaykhana_lazzat/101105222153/,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,200-400,4.3,357,"Балашиха, микрорайон Павлино, с46к2",,,32,40,159
Чайхана Марва,https://yandex.ru/maps/org/chaykhana_marva/69031326789/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,500-1500,4.9,354,"1-й Дорожный пр., 1, корп. 2, Москва",980,Пражская,132,90,194
Чайхона № 1,https://yandex.ru/maps/org/chaykhona_1/1107510556/,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,1500-2000,4.4,3853,"ул. Петровские Линии, 2, Москва",630,Трубная,324,196,1984
Чайхона № 1,https://yandex.ru/maps/org/chaykhona_1/117966646317/,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–02:00,11:00–02:00,11:00–00:00,1500-2000,4.6,3884,"Городецкая ул., 5, Москва",230,Новокосино,275,196,1935
Чайхона № 1,https://yandex.ru/maps/org/chaykhona_1/1254006182/,10:00–06:00,10:00–06:00,10:00–06:00,10:00–06:00,10:00–06:00,10:00–06:00,10:00–06:00,2199-2200,4.6,7503,"ул. Новый Арбат, 21, Москва",630,Смоленская,397,198,4373
Чайхона № 1,https://yandex.ru/maps/org/chaykhona_1/191506212315/,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,11:00–06:00,1500-2000,4.6,8633,"ул. Большая Полянка, 1/3, Москва",700,Полянка,508,196,5335
Чайхона № 1,https://yandex.ru/maps/org/chaykhona_1/212619267421/,12:00–06:00,12:00–06:00,12:00–06:00,12:00–06:00,12:00–06:00,12:00–06:00,12:00–06:00,1000-1500,4.5,4608,"1-я Тверская-Ямская ул., 7, Москва",360,Маяковская,328,196,2146
Чайхона № 1,https://yandex.com/maps/org/chaykhona_1/85144597132/,12:00–06:00,12:00–06:00,12:00–06:00,12:00–06:00,12:00–06:00,12:00–06:00,12:00–06:00,1000-1500,4.7,6724,"Люблинская ул., 96, Москва",770,Братиславская,395,196,3061
Чайхона Айва,https://yandex.ru/maps/org/chaykhona_ayva/168576118026/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,350-2000,4.4,5043,"Павелецкая площадь, 1, Москва",350,Павелецкая,277,104,2005
Чайковский,https://yandex.ru/maps/org/chaykovskiy/1020204970/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,1500-2000,4.8,5345,"Триумфальная площадь, 4, Москва",43,Маяковская,517,43,2470
Чебуречная № 1,https://yandex.com/maps/org/cheburechnaya_1/191501398603/,10:00–21:45,10:00–21:45,10:00–21:45,10:00–21:45,10:00–21:45,10:00–21:45,11:00–21:45,300-300,4.9,2354,"Нагатинская ул., 33, Москва",228,Коломенская,104,50,1196
Чебуречная СССР,https://yandex.com/maps/org/cheburechnaya_ussr/228401714440/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,150-350,4.7,469,"Зубовский бул., 17, стр. 1, Москва",208,Парк культуры,192,46,281
Cheesemania,https://yandex.ru/maps/org/cheesemania/115222531743/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,,4.2,325,"Рождественский бул., 1, Москва",248,Трубная,66,54,265
Cheesemania Pizza&Pasta,https://yandex.ru/maps/org/cheesemania_pizza_pasta/164880882854/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,10:00–22:00,,4.3,322,"Щёлковское ш., 75, Москва",43,Щёлковская,62,64,213
Chef,https://yandex.ru/maps/org/chef/39755214928/,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,10:00–02:00,3000-5000,4.8,3078,"Кутузовский просп., 2/1с6, Москва",1,Киевская,137,11,1103
Chef Burger,https://yandex.ru/maps/org/chef_burger/35302903595/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–02:00,10:00–02:00,10:00–23:00,1500-2000,4.3,159,"Новорязанская ул., 23, стр. 1, Москва",310,Комсомольская,63,39,116
Chef's table,https://yandex.ru/maps/org/chef_s_table/237653602468/,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,15000-18000,5.0,593,"Смоленская площадь, 3, Москва",175,Смоленская,400,6,253
Chef,https://yandex.com/maps/org/chef_steak_house/39755214928/,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,10:00–02:00,3000-5000,4.8,3078,"Кутузовский просп., 2/1с6, Москва",1,Киевская,137,11,1103
Chef's table,https://yandex.com/maps/org/chef_table/237653602468/,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,13:00–00:00,15000-18000,5.0,593,"Смоленская площадь, 3, Москва",175,Смоленская,400,6,253
Чеховъ,https://yandex.com/maps/org/chekhov/1231511234/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2500-4000,4.6,910,"Камергерский пер., 3, стр. 1, Москва",380,Охотный Ряд,196,143,408
Чеми Стумари,https://yandex.com/maps/org/chemi_stumari/15731883630/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,2000-3500,5.0,138,"Измайловское ш., 3А, Москва",450,Семёновская,83,94,99
Чемодан,https://yandex.com/maps/org/chemodan/1011476166/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,4500-4500,4.9,2293,"Гоголевский бул., 25, стр. 1, Москва",480,Кропоткинская,291,0,1018
Чердак,https://yandex.ru/maps/org/cherdak/1737174407/,Выходной,21:00–04:00,21:00–04:00,21:00–04:00,21:00–06:00,21:00–06:00,21:00–04:00,1000-1500,4.1,550,"ул. Жилгородок, 44А, микрорайон Ольгино, Балашиха",,,60,0,231
Черетто Море,https://yandex.ru/maps/org/cheretto_more/1202015176/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2500-3000,4.8,2328,"Пятницкая ул., 52, стр. 1, Москва",810,Добрынинская,405,76,1062
Черетто Мясо,https://yandex.ru/maps/org/cheretto_myaso/45323824591/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1500-2000,4.8,2211,"просп. Мира, 58, Москва",470,Проспект Мира,186,139,975
Честерфилд,https://yandex.ru/maps/org/chesterfild/1065849154/,18:00–06:00,18:00–06:00,18:00–06:00,18:00–06:00,18:00–06:00,15:00–06:00,15:00–06:00,1000-1500,4.2,8587,"ул. Новый Арбат, 19, Москва",790,Смоленская,246,7,3261
Честная рыба,https://yandex.ru/maps/org/chestnaya_ryba/141384374246/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,,5.0,5389,"ул. Новый Арбат, 24, Москва",790,Смоленская,564,121,4243
Чико,https://yandex.com/maps/org/chicko/125998466335/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,750-1200,5.0,15528,"ул. Покровка, 1/13/6с2, Москва",530,Китай-город,541,127,10763
Чико,https://yandex.com/maps/org/chicko/203381751653/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,,5.0,8332,"Комсомольский просп., 24, стр. 1, Москва",70,Фрунзенская,550,122,6257
Чихо,https://yandex.com/maps/org/chiho/223307048500/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,,4.9,525,"Пресненская наб., 8, стр. 1, Москва",82,Деловой центр,129,65,311
Чихо,https://yandex.ru/maps/org/chikho/105714120712/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–00:00,12:00–00:00,12:00–23:00,,4.8,1817,"Пятницкая ул., 11/23, Москва",189,Новокузнецкая,501,65,1182
Чихо,https://yandex.ru/maps/org/chikho/109926823803/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–00:00,12:00–00:00,12:00–23:00,,4.9,580,"Берсеневский пер., 2, стр. 1, Москва",970,Кропоткинская,259,65,360
Чихо,https://yandex.ru/maps/org/chikho/133060707860/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–00:00,12:00–00:00,12:00–23:00,,4.9,795,"ул. Покровка, 3/7с1А, Москва",600,Китай-город,240,65,562
Чихо,https://yandex.ru/maps/org/chikho/170292534240/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–00:00,12:00–00:00,12:00–23:00,350-650,4.7,2573,"ул. Малая Дмитровка, 4, Москва",196,Пушкинская,503,65,1386
Чилл Хаб,https://yandex.ru/maps/org/chill_khab/147919941851/,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–02:00,09:00–02:00,09:00–02:00,,5.0,85,"Измайловский пр., 10, корп. 3, Москва",1,Измайловская,84,87,47
Chin,https://yandex.com/maps/org/chin/223364170369/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–02:00,12:00–02:00,12:00–00:00,3000-5000,4.4,141,"Лесная ул., 20, стр. 5, Москва",460,Белорусская,56,0,86
China Club,https://yandex.com/maps/org/china_club/1072759234/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,3000-4000,4.8,1460,"ул. Красина, 21, Москва",830,Маяковская,397,182,559
China Garden,https://yandex.com/maps/org/china_garden/1120383774/,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,2000-2500,4.4,410,"Краснопресненская наб., 12, Москва",1,Деловой центр,116,негры,151
China Today,https://yandex.com/maps/org/china_today/1137031256/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1500-2500,4.4,403,"Кутузовский просп., 71, Москва",720,Кунцевская,62,101,144
Чайна Тун,https://yandex.com/maps/org/china_tun/187325981247/,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,Выходной,,4.3,130,"Варшавское ш., 26, стр. 5, Москва",91,Нагатинская,54,95,83
Чиндао,https://yandex.ru/maps/org/chindao/57964823977/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,1500-1500,4.5,890,"Яузская ул., 5, Москва",860,Китай-город,324,92,475
Китайская кухня,https://yandex.com/maps/org/chinese_cuisine/134807765819/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,,4.5,1023,"Мичуринский просп., 8, стр. 2, Москва",252,Ломоносовский проспект,259,114,590
Чуаньюй,https://yandex.com/maps/org/chinese_restaurant_chuanyu/10525269575/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,2500-3500,4.8,3172,"Мичуринский просп., 7, корп. 1, Москва",620,Ломоносовский проспект,524,106,1604
Чистая линия,https://yandex.ru/maps/org/chistaya_liniya/196123729164/,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,700-2000,4.7,3038,"Тверская ул., 5/6, Москва",174,Охотный Ряд,548,69,1586
Чито-Ра,https://yandex.ru/maps/org/chito_ra/128414304770/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1200-1400,4.7,2560,"Лесная ул., 30, Москва",293,Менделеевская,238,128,1257
Chow Chow,https://yandex.com/maps/org/chow_chow_asian_bar_food/83682949703/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,1000-1500,4.8,1574,"ул. Забелина, 1А, Москва",213,Китай-город,641,65,1230
Christian,https://yandex.com/maps/org/christian/1314017852/,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,10:00–00:00,11:00–00:00,3500-4000,4.9,3161,"Кутузовский просп., 2/1к1А, Москва",860,Киевская,506,10,1368
Чу-Чу Чай,https://yandex.com/maps/org/chu_chu_tea/36864858373/,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,,5.0,257,"Новорязанское ш., 24, Котельники",3,Котельники,81,23,200
Чуаньюй,https://yandex.ru/maps/org/chuanyuy/10525269575/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,2500-3500,4.8,3172,"Мичуринский просп., 7, корп. 1, Москва",620,Ломоносовский проспект,524,106,1604
Чудо-Юдо,https://yandex.com/maps/org/chudo_yudo/102810707359/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–03:00,12:00–03:00,12:00–00:00,2000-2500,4.9,5552,"ул. Новый Арбат, 21, стр. 2, Москва",720,Смоленская,147,111,3949
Черчилль паб,https://yandex.com/maps/org/churchill_s_pub/1161005600/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,,4.8,3187,"Ленинградский просп., 66, Москва",470,Аэропорт,189,35,1510
Столовая ЦИАМ,https://yandex.com/maps/org/ciam_food_processing_plant/1333362769/,08:00–16:00,08:00–16:00,08:00–16:00,08:00–16:00,08:00–15:00,Выходной,Выходной,330-500,4.4,309,"Авиамоторная ул., 2, корп. 34, Москва",770,Авиамоторная,49,4,119
Ciao,https://yandex.com/maps/org/ciao/22267688477/,10:00–21:30,10:00–21:30,10:00–21:30,10:00–21:30,10:00–21:30,10:00–21:30,10:00–21:30,,4.5,260,"Кожевническая ул., 18, Москва",600,Павелецкая,84,50,166
Cihan Turkish Steak and Kebab,https://yandex.ru/maps/org/cihan_turkish_steak_and_kebab/189016496546/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–01:00,10:00–01:00,10:00–00:00,3500-5000,4.9,1643,"Комсомольский просп., 21/10, Москва",400,Фрунзенская,357,100,779
Cihan Turkish Steak and Kebab,https://yandex.ru/maps/org/cihan_turkish_steak_and_kebab/85352065658/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–01:00,12:00–01:00,12:00–00:00,3500-5500,4.8,2910,"ул. Новый Арбат, 21, Москва",590,Смоленская,486,94,1307
Cihan Turkish Steak and Kebab,https://yandex.com/maps/org/cihanturkish_steak_and_kebab/85352065658/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–01:00,12:00–01:00,12:00–00:00,3500-5500,4.8,2910,"ул. Новый Арбат, 21, Москва",590,Смоленская,486,94,1307
Городское кафе 317,https://yandex.com/maps/org/city_cafe_317/1061019704/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,,4.5,2172,"Глубокий пер., 1/2, Москва",950,Краснопресненская,88,24,854
City Space Bar & Restaurant,https://yandex.com/maps/org/city_space_bar_restaurant/141571391125/,17:00–00:00,17:00–00:00,17:00–00:00,17:00–00:00,17:00–01:00,17:00–01:00,17:00–00:00,2500-5000,4.8,1701,"Космодамианская наб., 52, стр. 6, Москва",570,Павелецкая,342,негры,825
Coba,https://yandex.ru/maps/org/coba/115237621075/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2500-4000,4.7,933,"Новая площадь, 10, Москва",105,Лубянка,165,136,670
Cochonnet,https://yandex.ru/maps/org/cochonnet/126770088225/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–02:00,10:00–02:00,10:00–02:00,1000-1000,4.4,919,"ул. Крымский Вал, 9, стр. 11, Москва",1,Октябрьская,377,40,462
Coffee Buro,https://yandex.ru/maps/org/coffee_buro/71385048347/,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–23:00,10:00–23:00,10:00–22:00,300,4.5,1555,"Славянская площадь, 2/5/4с3, Москва",10,Китай-город,532,21,1102
Кофемания,https://yandex.com/maps/org/coffeemania/1025950197/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,1500-2500,4.5,701,"Красная площадь, 3, Москва",181,Театральная,128,98,246
Кофемания,https://yandex.com/maps/org/coffeemania/1045821788/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,2500-2500,4.7,6351,"Большая Никитская ул., 13, Москва",740,Библиотека им. Ленина,201,123,2066
Кофемания,https://yandex.com/maps/org/coffeemania/1046603158/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,1500-2500,4.7,2679,"Кудринская площадь, 46/54с1, Москва",600,Баррикадная,221,127,919
Кофемания,https://yandex.com/maps/org/coffeemania/1051904212/,07:45–00:00,07:45–00:00,07:45–00:00,07:45–00:00,07:45–00:00,10:00–00:00,10:00–00:00,1500-2500,4.6,2690,"Садовническая ул., 82, стр. 2, Москва",570,Павелецкая,165,125,956
Кофемания,https://yandex.com/maps/org/coffeemania/1069315396/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,1500-2500,4.6,5036,"Лесная ул., 5, Москва",18,Белорусская,332,136,1821
Кофемания,https://yandex.com/maps/org/coffeemania/1075175812/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,1500-2500,4.7,4810,"Трубная площадь, 2, Москва",165,Трубная,321,126,1721
Кофемания,https://yandex.com/maps/org/coffeemania/1116828534/,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,1500-2500,4.7,2980,"ул. Новый Арбат, 19, Москва",730,Смоленская,203,122,1048
Кофемания,https://yandex.com/maps/org/coffeemania/1394232308/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,1500-2500,4.5,2801,"ул. Большая Полянка, 2, стр. 2, Москва",650,Полянка,192,177,990
Кофемания,https://yandex.com/maps/org/coffeemania/1755343392/,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,09:00–22:00,09:00–22:00,1500-2500,4.6,802,"Хорошёвское ш., 27, Москва",59,Хорошёвская,65,119,364
Кофемания Red 7,https://yandex.com/maps/org/coffeemania_red_7/31242708719/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,1500-2500,5.0,313,"просп. Академика Сахарова, 7, Москва",530,Красные Ворота,166,177,148
Coffeeshop Company,https://yandex.ru/maps/org/coffeeshop_company/1380744996/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,10:00–22:00,,4.5,860,"площадь Киевского Вокзала, 2, Москва",8,Киевская,280,128,712
Coffeeshop Company,https://yandex.com/maps/org/coffeeshop_company/181598452476/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,1600,4.7,65,"ш. Энтузиастов, 3, корп. 2, Москва",830,Площадь Ильича,107,91,51
Com,https://yandex.com/maps/org/com/170191130860/,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,,5.0,77,"ул. Можайский Вал, 10, Москва",750,Студенческая,38,41,71
Com,https://yandex.com/maps/org/com/176827813995/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,,5.0,494,"Мясницкая ул., 46, стр. 1, Москва",271,Красные Ворота,182,41,447
Com,https://yandex.com/maps/org/com/43462326521/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,,5.0,551,"Бутырская ул., 77, Москва",430,Дмитровская,174,41,514
Com 1989,https://yandex.com/maps/org/com_1989/122276171644/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,,5.0,524,"Новодмитровская ул., 5А, стр. 2, Москва",660,Дмитровская,200,17,427
Ком 1989,https://yandex.com/maps/org/com_1989/141563411266/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,,5.0,953,"просп. Мира, 102, корп. 2, Москва",850,Алексеевская,323,17,696
Ком1989,https://yandex.com/maps/org/com_1989/198881986409/,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,,5.0,396,"Ленинградский просп., 36, стр. 31, Москва",590,Динамо,133,17,284
Ком 1989,https://yandex.com/maps/org/com_1989/240544738763/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,350-700,5.0,1910,"Дубининская ул., 70, Москва",1,Серпуховская,499,17,1518
Ком 1989,https://yandex.com/maps/org/com_1989/38317139494/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,600-800,4.8,351,"Часовая ул., 11, Москва",1,Аэропорт,102,17,237
Ком 1989,https://yandex.com/maps/org/com_1989/42824013682/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,,4.9,599,"ул. Коровий Вал, 11, стр. 1, Москва",380,Добрынинская,220,17,506
Com 1989,https://yandex.com/maps/org/com_1989/80248534067/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,,5.0,290,"ул. Орджоникидзе, 11, стр. 40, Москва",1,Площадь Гагарина,126,17,229
Com Pho,https://yandex.com/maps/org/com_pho/101740424461/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,,5.0,203,"Вешняковская ул., 18Б, Москва",1,Выхино,47,38,119
Community,https://yandex.com/maps/org/community/84590012745/,Выходной,Выходной,14:00–00:00,14:00–00:00,14:00–05:30,14:00–05:30,14:00–00:00,3500-5000,4.8,2933,"Космодамианская наб., 2, Москва",770,Новокузнецкая,307,42,1151
Complex Burger,https://yandex.ru/maps/org/complex_burger/146415430048/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,550-550,5.0,395,"Садовая-Каретная ул., 20, стр. 1, Москва",890,Цветной бульвар,64,186,237
Connolly Station,https://yandex.ru/maps/org/connolly_station/1705556639/,12:00–00:00,12:00–01:00,12:00–01:00,12:00–01:00,12:00–03:00,12:00–03:00,12:00–00:00,,4.9,6989,"Столешников пер., 8, Москва",570,Охотный Ряд,506,негры,2922
Консерватория,https://yandex.com/maps/org/conservatory/1228374087/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,3000-5000,4.7,502,"Неглинная ул., 4, Москва",330,Театральная,140,0,211
