url,dataset,name,org_id
https://yandex.ru/maps/org/ani/1203356800/,yandex_restaurants_links expensive.txt,ani,1203356800
https://yandex.com/maps/org/anna_varenina/137920633719/,yandex_restaurants_links borsh.txt,anna varenina,137920633719
https://yandex.ru/maps/org/annenfeld/1027432904/,yandex_restaurants_links expensive.txt,annenfeld,1027432904
https://yandex.ru/maps/org/aperitivnaya/165956735470/,yandex_restaurants_links pasta.txt,aperitivnaya,165956735470
https://yandex.com/maps/org/aquaecorest/60713554961/,yandex_restaurants_links very expensive (1).txt,aquaecorest,60713554961
https://yandex.ru/maps/org/aquarium/35131238415/,yandex_restaurants_links pasta.txt,aquarium,35131238415
https://yandex.com/maps/org/arabeska/218094796520/,yandex_restaurants_links borsh.txt,arabeska,218094796520
https://yandex.com/maps/org/arabist/1020286819/,yandex_restaurants_links borsh.txt,arabist,1020286819
https://yandex.ru/maps/org/arakhis/110211815458/,yandex_restaurants_links expensive.txt,arakhis,110211815458
https://yandex.com/maps/org/ararat/1072099466/,yandex_restaurants_links very expensive (1).txt,ararat,1072099466
https://yandex.ru/maps/org/ararat/1079687245/,yandex_restaurants_links average.txt,ararat,1079687245
https://yandex.ru/maps/org/ararat/70976680839/,yandex_restaurants_links максим2.txt,ararat,70976680839
https://yandex.ru/maps/org/araratskaya_dolina/168926119981/,yandex_restaurants_links expensive.txt,araratskaya dolina,168926119981
https://yandex.com/maps/org/archie/121389204801/,yandex_restaurants_links very expensive (1).txt,archie,121389204801
https://yandex.ru/maps/org/argo/228882745340/,yandex_restaurants_links average.txt,argo,228882745340
https://yandex.ru/maps/org/argo_u_dyadi_bori/205256651282/,yandex_restaurants_links expensive.txt,argo u dyadi bori,205256651282
https://yandex.ru/maps/org/ariana/1121238653/,yandex_restaurants_links expensive.txt,ariana,1121238653
https://yandex.com/maps/org/armenia/1133929046/,yandex_restaurants_links very expensive (1).txt,armenia,1133929046
https://yandex.com/maps/org/armyanskiy_dom/166903702287/,yandex_restaurants_links very expensive (1).txt,armyanskiy dom,166903702287
https://yandex.com/maps/org/aroma/199428355782/,yandex_restaurants_links borsh.txt,aroma,199428355782
https://yandex.com/maps/org/aroma_reka/1124459209/,yandex_restaurants_links.fo botxt.txt,aroma reka,1124459209
https://yandex.ru/maps/org/aromakafe_eplkrim/130758995385/,yandex_restaurants_links максим2.txt,aromakafe eplkrim,130758995385
https://yandex.ru/maps/org/aromatnaya_reka/1124459209/,yandex_restaurants_links average.txt,aromatnaya reka,1124459209
https://yandex.ru/maps/org/art_kafe_rukav/1031055214/,yandex_restaurants_links максим2.txt,art kafe rukav,1031055214
https://yandex.ru/maps/org/artelli/157479418061/,yandex_restaurants_links pasta.txt,artelli,157479418061
https://yandex.com/maps/org/arts_palace/1164431032/,yandex_restaurants_links very expensive (1).txt,arts palace,1164431032
https://yandex.ru/maps/org/aruba/1187587391/,yandex_restaurants_links pasta.txt,aruba,1187587391
https://yandex.com/maps/org/asakusa/137819504531/,yandex_restaurants_links.fo botxt.txt,asakusa,137819504531
https://yandex.com/maps/org/ashan/1055413108/,yandex_restaurants_links.fo botxt.txt,ashan,1055413108
https://yandex.ru/maps/org/ashan/68634134939/,yandex_restaurants_links pasta.txt,ashan,68634134939
https://yandex.com/maps/org/asia/49689462319/,yandex_restaurants_links.fo botxt.txt,asia,49689462319
https://yandex.com/maps/org/asia_city/137416278853/,yandex_restaurants_links.fo botxt.txt,asia city,137416278853
https://yandex.com/maps/org/asia_gourmet/55334617719/,yandex_restaurants_links.fo botxt.txt,asia gourmet,55334617719
https://yandex.com/maps/org/asia_mini/154916420332/,yandex_restaurants_links.fo botxt.txt,asia mini,154916420332
https://yandex.com/maps/org/asian_street_food/191193798644/,yandex_restaurants_links.fo botxt.txt,asian street food,191193798644
https://yandex.com/maps/org/askaneli/126128575691/,yandex_restaurants_links borsh.txt,askaneli,126128575691
https://yandex.com/maps/org/assunta_madre/47464496972/,yandex_restaurants_links very expensive (1).txt,assunta madre,47464496972
https://yandex.com/maps/org/atlantica/1187477091/,yandex_restaurants_links very expensive (1).txt,atlantica,1187477091
https://yandex.ru/maps/org/atlantica_bistro/148873892568/,yandex_restaurants_links pasta.txt,atlantica bistro,148873892568
https://yandex.com/maps/org/aurora/1005141406/,yandex_restaurants_links very expensive (1).txt,aurora,1005141406
https://yandex.ru/maps/org/aurum_art_club/1318721780/,yandex_restaurants_links average.txt,aurum art club,1318721780
https://yandex.com/maps/org/ava_bistro/204148885610/,yandex_restaurants_links borsh.txt,ava bistro,204148885610
https://yandex.com/maps/org/ava_bistro/217651548614/,yandex_restaurants_links borsh.txt,ava bistro,217651548614
https://yandex.ru/maps/org/avenue/137254470440/,yandex_restaurants_links максим2.txt,avenue,137254470440
https://yandex.ru/maps/org/avokado/1099046369/,yandex_restaurants_links expensive.txt,avokado,1099046369
https://yandex.ru/maps/org/avtograf/1110916434/,yandex_restaurants_links expensive.txt,avtograf,1110916434
https://yandex.ru/maps/org/aydabaran/68426977284/,yandex_restaurants_links average.txt,aydabaran,68426977284
https://yandex.ru/maps/org/ayinger_kolomenskoye/1737406847/,yandex_restaurants_links average.txt,ayinger kolomenskoye,1737406847
https://yandex.ru/maps/org/ayva/188516604046/,yandex_restaurants_links average.txt,ayva,188516604046
https://yandex.com/maps/org/azerbaydzhan/20238443099/,yandex_restaurants_links very expensive (1).txt,azerbaydzhan,20238443099
https://yandex.com/maps/org/aziaty/154315526618/,yandex_restaurants_links.fo botxt.txt,aziaty,154315526618
https://yandex.com/maps/org/aziya_sovsem_blizko/111349879802/,yandex_restaurants_links.fo botxt.txt,aziya sovsem blizko,111349879802
https://yandex.com/maps/org/b_/127578962621/,yandex_restaurants_links.fo botxt.txt,b,127578962621
https://yandex.com/maps/org/b_/131807091134/,yandex_restaurants_links.fo botxt.txt,b,131807091134
https://yandex.com/maps/org/b_/1615048931/,yandex_restaurants_links.fo botxt.txt,b,1615048931
https://yandex.com/maps/org/b_/168791819324/,yandex_restaurants_links.fo botxt.txt,b,168791819324
https://yandex.com/maps/org/b_/218044309937/,yandex_restaurants_links.fo botxt.txt,b,218044309937
https://yandex.com/maps/org/b_/37402747730/,yandex_restaurants_links.fo botxt.txt,b,37402747730
https://yandex.com/maps/org/b_/42412638808/,yandex_restaurants_links.fo botxt.txt,b,42412638808
https://yandex.com/maps/org/b_/83422100758/,yandex_restaurants_links.fo botxt.txt,b,83422100758
https://yandex.ru/maps/org/b12/1254790483/,yandex_restaurants_links average.txt,b12,1254790483
https://yandex.com/maps/org/ba_dinh/216182078605/,yandex_restaurants_links.fo botxt.txt,ba dinh,216182078605
https://yandex.ru/maps/org/baan_tay/1257781464/,yandex_restaurants_links expensive.txt,baan tay,1257781464
https://yandex.com/maps/org/baan_thai/1257781464/,yandex_restaurants_links.fo botxt.txt,baan thai,1257781464
https://yandex.ru/maps/org/baba_marta/53087101456/,yandex_restaurants_links expensive.txt,baba marta,53087101456
https://yandex.com/maps/org/babacha/144072727492/,yandex_restaurants_links borsh.txt,babacha,144072727492
https://yandex.ru/maps/org/babel/1002761872/,yandex_restaurants_links seafood.txt,babel,1002761872
https://yandex.com/maps/org/bagebi/59184816351/,yandex_restaurants_links very expensive (1).txt,bagebi,59184816351
https://yandex.com/maps/org/bakery/1212540197/,yandex_restaurants_links.fo botxt.txt,bakery,1212540197
https://yandex.com/maps/org/bakinskij_domik/1052748259/,yandex_restaurants_links very expensive (1).txt,bakinskij domik,1052748259
https://yandex.ru/maps/org/bakinskiy_bulvar/1079705486/,yandex_restaurants_links expensive.txt,bakinskiy bulvar,1079705486
https://yandex.ru/maps/org/bakinskiy_bulvar/1338404451/,yandex_restaurants_links максим2.txt,bakinskiy bulvar,1338404451
https://yandex.ru/maps/org/bakinskiy_domik/1052748259/,yandex_restaurants_links seafood.txt,bakinskiy domik,1052748259
https://yandex.com/maps/org/bakinskiy_dvorik/1121396516/,yandex_restaurants_links very expensive (1).txt,bakinskiy dvorik,1121396516
